market,volume,market_price,implied_prob,edge,signal,kelly_pct,bet_size,resolved_yes,won,pnl
Iran nuclear deal by Dec 2024? [1],104037.0,0.423,0.378,0.0455,Buy No,7.56,75.59,True,False,-75.59
Iran protests reach capital? [2],343733.0,0.406,0.568,0.1615,Buy Yes,5.94,54.87,True,True,54.87
Iran sanctions lifted Q1 2025? [3],112263.0,0.591,0.582,-0.009,None,0.0,0.0,False,,0.0
Iran oil exports >2mb/d by year end? [4],331981.0,0.222,0.258,0.0357,Buy Yes,6.17,60.44,False,False,-60.44
Iran presidential election held on time? [5],204298.0,0.475,0.358,0.1177,Buy No,4.22,38.8,False,True,38.8
Iran-US direct talks in 2024? [6],233733.0,0.527,0.566,0.0381,Buy Yes,5.15,49.27,True,True,49.27
Iran currency collapse? [7],84602.0,0.837,0.875,0.0386,Buy Yes,8.66,87.23,True,True,87.23
IAEA inspectors expelled from Iran? [8],16535.0,0.13,0.256,0.1259,Buy Yes,3.49,38.15,True,True,38.15
Iran missile test before elections? [9],158354.0,0.169,0.148,-0.0211,None,0.0,0.0,False,,0.0
Iran internet shutdown >72hrs? [10],394672.0,0.261,0.204,0.0566,Buy No,4.55,51.47,True,False,-51.47
Iran nuclear deal by Dec 2024? [11],180135.0,0.711,0.682,-0.0295,None,0.0,0.0,False,,0.0
Iran protests reach capital? [12],374875.0,0.58,0.547,0.0323,Buy No,3.86,41.74,True,False,-41.74
Iran sanctions lifted Q1 2025? [13],77028.0,0.242,0.29,0.0483,Buy Yes,7.62,79.21,False,False,-79.21
Iran oil exports >2mb/d by year end? [14],63021.0,0.777,0.743,0.0342,Buy No,4.73,45.37,True,False,-45.37
Iran presidential election held on time? [15],112079.0,0.138,0.265,0.1267,Buy Yes,5.4,49.35,True,True,49.35
Iran-US direct talks in 2024? [16],50869.0,0.397,0.415,0.0177,None,0.0,0.0,True,,0.0
Iran currency collapse? [17],159152.0,0.455,0.44,-0.0151,None,0.0,0.0,False,,0.0
IAEA inspectors expelled from Iran? [18],113209.0,0.677,0.657,-0.02,None,0.0,0.0,True,,0.0
Iran missile test before elections? [19],44663.0,0.701,0.87,0.1691,Buy Yes,4.54,43.73,True,True,43.73
Iran internet shutdown >72hrs? [20],437924.0,0.826,0.86,0.0344,Buy Yes,4.54,45.75,False,False,-45.75
Iran nuclear deal by Dec 2024? [21],330818.0,0.427,0.442,0.0143,None,0.0,0.0,False,,0.0
Iran protests reach capital? [22],335057.0,0.89,0.884,-0.0061,None,0.0,0.0,False,,0.0
Iran sanctions lifted Q1 2025? [23],335195.0,0.376,0.352,-0.0245,None,0.0,0.0,False,,0.0
Iran oil exports >2mb/d by year end? [24],321832.0,0.237,0.267,0.0293,None,0.0,0.0,True,,0.0
Iran presidential election held on time? [25],176040.0,0.788,0.702,0.0863,Buy No,6.19,59.54,True,False,-59.54
Iran-US direct talks in 2024? [26],337789.0,0.348,0.371,0.0228,None,0.0,0.0,True,,0.0
Iran currency collapse? [27],375546.0,0.264,0.267,0.0025,None,0.0,0.0,False,,0.0
IAEA inspectors expelled from Iran? [28],383696.0,0.605,0.567,0.0384,Buy No,3.63,32.76,True,False,-32.76
Iran missile test before elections? [29],480763.0,0.564,0.555,-0.0092,None,0.0,0.0,False,,0.0
Iran internet shutdown >72hrs? [30],296066.0,0.859,0.966,0.107,Buy Yes,8.95,77.83,False,False,-77.83
Iran nuclear deal by Dec 2024? [31],90265.0,0.419,0.337,0.0815,Buy No,3.78,29.96,True,False,-29.96
Iran protests reach capital? [32],352411.0,0.78,0.946,0.1663,Buy Yes,4.07,31.03,True,True,31.03
Iran sanctions lifted Q1 2025? [33],288469.0,0.319,0.345,0.0261,None,0.0,0.0,False,,0.0
Iran oil exports >2mb/d by year end? [34],447000.0,0.483,0.457,-0.0264,None,0.0,0.0,True,,0.0
Iran presidential election held on time? [35],232637.0,0.292,0.271,-0.0211,None,0.0,0.0,True,,0.0
Iran-US direct talks in 2024? [36],368195.0,0.369,0.379,0.0107,None,0.0,0.0,False,,0.0
Iran currency collapse? [37],87162.0,0.431,0.394,0.0371,Buy No,5.05,40.07,True,False,-40.07
IAEA inspectors expelled from Iran? [38],83466.0,0.704,0.793,0.0887,Buy Yes,5.51,41.45,False,False,-41.45
Iran missile test before elections? [39],90059.0,0.194,0.183,-0.0104,None,0.0,0.0,False,,0.0
Iran internet shutdown >72hrs? [40],281705.0,0.259,0.284,0.0252,None,0.0,0.0,True,,0.0
Iran nuclear deal by Dec 2024? [41],363750.0,0.642,0.609,0.0331,Buy No,7.56,53.74,True,False,-53.74
Iran protests reach capital? [42],436082.0,0.233,0.254,0.0208,None,0.0,0.0,False,,0.0
Iran sanctions lifted Q1 2025? [43],31142.0,0.372,0.44,0.0675,Buy Yes,4.13,27.14,True,True,27.14
Iran oil exports >2mb/d by year end? [44],250796.0,0.189,0.15,0.039,Buy No,5.26,36.02,False,True,36.02
Iran presidential election held on time? [45],398454.0,0.178,0.191,0.0132,None,0.0,0.0,False,,0.0
